HERC2P2,
CNTNAP2,
MAD2L1-DT,
HERC2P7,
SPATA31E3P,
GOLGA8IP,
,Frg1
U3,
OR8U9,
OR8J2,
FAM8A2P,
OR8U8,
OR8L1P,
NDUFA6-DT,
OR5T3,
OR5T2,
OR8K2P,
OR8I1P,
OR8K3,
OR8H1,
RPL4P5,
ICE2P1,
LINC01060,
OR5T1,
SMDT1,
RPL5P29,
OR8K1,
OR8J1,
RPS17,
NKD2,
OLA1P1,
NDUFA6,
CYP2D8P,
CYP2D6,
SDHAP2,
GOLGA8F,
MUC20-OT1,
LINC01194,
CYP2D7,
LMNTD2,
GOLGA6L10,
MEGF11,
DNM1P38,
SLC12A7,
ABR,
HERC2P11,
TNFRSF14,
CPEB1,
GOLGA8G,
MIR210HG,
RNH1,
DIS3L-AS1,
SERF1B,
CLK2,
NAIP,
ABCB10P4,
HERC2,
TCF20,
LILRA4,
TTC34,
MUC20,
MMEL1,
LAIR1,
PKLR,
MUC4,
DRD4,
DEAF1,
MCCC2,
IRF7,
MTX1P1,
SCAMP3,
CSPG4P10,
PSMB1,
TIMM22,
FAM120B,
GOLGA6L9,
NXN,
BDP1,
GOLGA6L17P,
GOLGA2P10,
GBA,
MMEL1-AS1,
HRAS,
PANK4,
LINC00824,
UBE2Q2P6,
DLL1,
ADAMTS7P1,
LINC01624,
UBE2Q2P2,
LMNTD2-AS1,
RASSF7,
PLCH2,
CDHR5,
SMN1,
HCN3,
UGT2A3,
HES5,
CNOT3,
FAM189B,
TNFRSF14-AS1,
UGT2B27P,
UGT2B29P,
LINC02197,
UGT2B10,
DENND11,
PRXL2B,
TARM1,
VSTM1,
SERF1A,
UGT2B15,
LENG1,
WEE2-AS1,
LILRA5,
NLRP7,
MT2P1,
TMPRSS11E,
SSBP1,
LILRA2,
CTSO,
SCT,
YTHDC1,
PTDSS2,
NLRP2,
TDO2,
OR2W1,
NOP56P1,
OR14J1,
GP6,
TRIM27,
AGK,
DEFB104B,
WEE2,
DEFB105B,
LILRB1,
MBOAT7,
PRR23D1,
LILRA3,
DEFB4B,
TMEM179,
FAM90A7P,
LILRB2,
RPS9,
DEFB103B,
NDUFA3,
HCG14,
DEFB108C,
RPL13P,
FAM90A22P,
ZNF311,
OSCAR,
OR7E157P,
HSPD1P3,
FAM90A21P,
ZNF705G,
C14orf180,
RDH13,
FAM20C,
DEFB107B,
METRNL,
FAM90A6P,
LINC01623,
LINC01015,
SPAG11B,
OR2B3,
HCG22,
TBCD,
LST1,
DEFB106B,
FAM66B,
TSEN34,
FAM90A23P,
POMZP3,
TFPT,
TOMM40P4,
CDRT15P3,
PRAMEF5,
UPK3B,
PRAMEF22,
PRAMEF18,
MYL6P5,
SPDYE16,
B3GNTL1,
PRAMEF8,
DTX2,
HNRNPCL2,
PRAMEF25,
HNRNPCL4,
PRAMEF33,
PRAMEF9,
,Mrpl23
OR2J3,
HLA-H,
MICB,
OR2U2P,
TRIM10,
ATP23,
FAM138D,
RNA5-8SN4,
FAM189A1,
IQSEC3,
KIR3DX1,
LINC02403,
CEACAM4,
MICG,
GIHCG,
RNF39,
RN7SKP65,
LILRA6,
CEACAMP3,
ZNF90P2,
APBA2,
DDX11L8,
MUC21,
KIF26B,
PLEKHA3P1,
DNAJC19P2,
CEACAM21,
HCG15,
TRIM31-AS1,
TNF,
WASH8P,
OR11A1,
MOG,
BTG3-AS1,
DNAJC19P3,
BTG3,
LINC01480,
CEACAM7,
TBX22,
PTPRN2,
WHAMMP2,
ABCB10P3,
C22orf15,
CABIN1,
CXADRP2,
LINC02203,
MAMDC2-AS1,
SMARCB1,
MAMDC2,
LONRF2P4,
PRH2,
HERC2P1,
OCA2,
OR4M2B,
GRAMD4P6,
NBEAP4,
NF1P9,
U2,
TAS2R30,
TAS2R19,
TTYH1,
POTEB3,
TAS2R8,
TAS2R7,
TAS2R50,
TAS2R43,
TAS2R14,
TAS2R9,
TAS2R45,
TAS2R31,
TAS2R13,
TAS2R46,
TAS2R20,
TAS2R15P,
PRR4,
ZFP57,
OR2H5P,
OR5V1,
RPL5P32,
GPR53P,
OR2J2,
PDCD6IPP2,
TMEM183AP1,
HLA-DRB9,
MSH5-SAPCD1,
MIF,
GOLGA8M,
NSMCE3,
HERC2P9,
HLA-G,
DERL3,
RPL41P2,
KSR1P1,
IGKV1OR10-1,
SMIM10L1,
TAS2R64P,
PABPC1P8,
TRBV11-1,
TAS2R10,
TRBV7-6,
U2,U2
TRBV10-1,
TAS2R63P,
TRBV5-2,
TRBV7-4,
TRBV5-5,
TRBV11-3,
TRBV1,
LILRB5,
TRBV19,
TRBV12-4,
TRBV7-1,
CHRFAM7A,
TRBV25-1,
TRBV17,
SERPINF1,
TRBV5-3,
TRBV7-9,
TRBV5-7,
OR10A3,
TRBV27,
RPL32P1,
OR2J1,
TRBV7-2,
OR5P2,
DDX39BP1,
TRBV21-1,
OR5E1P,
SLC2A11,
HCG4P8,
SCARF1,
OR5P3,
TRPV5,
DHX16,
OR10A6,
NLRP10,
HSP90AA4P,
ARHGAP11B,
LINC01262,
U8,
ARHGAP11A,
PCGF7P,
ZNF729,
ZNF676,
HLA-K,
HSPA1B,
ZNF92P2,
MTDHP5,
VN1R85P,
BNIP3P31,
GABBR1,
BNIP3P30,
TRBV12-5,
TRBJ2-2P,
PRSS3P3,
TRBJ1-6,
TRBJ1-5,
TRBV11-2,
TRBV20-1,
TRBV10-2,
PHLDA2,
SCGB1C2,
LLCFC1,
LENG8,
TRBV9,
PRSS3P1,
LINC02091,
CARS1,
TRBC1,
TRBJ2-1,
IGKV1D-8,
RPH3AL,
PRSS59P,
TLCD2,
IGKV3D-7,
TRPM1,
TRPV6,
IGKV1OR2-118,
WDR81,
IGLV3-31,
IGLV1-40,
SLC39A11,
ATP9B,
SALL3,
ASH2LP1,
LL22NC03-63E9.3,
LINC01896,
IGLV3-30,
TRBV6-7,
IGLV1-44,
PRSS2,
TRBV7-3,
IGLV3-32,
TRBV18,
MOXD2P,
ZNF280B,
NDUFB9P1,
PRSS1,
TAF9,
IGLVI-38,
IGLV2-34,
TRBV23-1,
RPH3AL-AS1,
IGLV5-37,
SLC43A2,
TRBV5-4,
PRSS3P2,
IGLV7-43,
DOC2B,
OR6V1,
OR9P1P,
IGLVVII-41-1,
PGBD4P1,
TRBJ1-4,
IGLVI-42,
MGAM2,
IGLV1-41,
IGLV1-36,
LINC02887,
ZNF280A,
RAD17,
LAIR2,
NCF4-AS1,
NCF4,
IGLV2-33,
IGLV5-45,
PATL2,
OR9A2,
TRIM69,
TRBV13,
TRBV28,
TRBJ2-2,
LILRB4,
PRAME,
EPHB6,
ATP6V1G3,
PVALB,
GRK1,
TMEM255B,
LINC00552,
PTPRC,
TJP1,
MYOM2,
RILP,
SORD2P,
MIR22HG,
B2M,
CDC42EP5,
MTRNR2L6,
TRBV6-5,
TRBV14,
TRBV12-1,
TRBV4-2,
TRBV5-1,
PRPF8,
TRBJ2-6,
KRT31,
TRBV7-7,
DDT,
TRBV2,
MGAM,
TBC1D3P7,
KRT33A,
KCNQ1,
KRT37,
KCNQ1-AS1,
KRTAP16-1,
GSTT1,
KRT34,
TRBV16,
TRBVB,
KBTBD11-OT1,
TRBV6-1,
NAP1L4,
PRSS58,
HLA-DOB,
KRTAP17-1,
KBTBD11-AS1,
PEBP1P3,
KBTBD11,
IGLV7-35,
GOLGA8J,
KRT33B,
TRBV24-1,
TRBJ2-7,
TRBJ1-3,
TRBVA,
TRBV26,
GREM1,
OR6W1P,
TRBV4-1,
LILRA1,
ARHGEF10,
TRBC2,
TRBV8-1,
OR2H2,
TRBV22-1,
TRBV10-3,
HCG17,
TRBJ1-1,
TRBJ2-3,
TRBV7-5,
HLA-DRB3,
TRBJ2-5,
TRBV5-6,
MIF-AS1,
TRBV12-2,
TRBV6-4,
TRBJ1-2,
GSTT2,
TRBD1,
FAN1,
TRBJ2-4,
TRBV6-2,
TRBV30,
TRBV12-3,
TRBV3-1,
TRBV8-2,
WBP1LP1,
TRBV6-8,
TRBV29-1,
TRBV6-6,
TRBV15,
CHCHD10,
KEL,
SCG5,
PRPF31,
GSTT4,
MTMR10,
DDTL,
KIF5C,
KLF13,
ZNF251,
MMP11,
SERPINF2,
TRIM26BP,
CEP72-DT,
NCR3,
CEP72,
LRRC37A2,
SLC9A3,
GSTT2B,
RN7SL105P,
LENG9,
MUC2,
RN7SL268P,
TSBP1-AS1,
TAMM41,
DDX39BP2,
AGPAT1,
